
# TILE LIBRARY

# Template
name,icon,solid,format

# name: How the tile will be called and labelled in game
# icon: A single character, how the tile will be represented on the map
# solid: 'true' or 'false', if the player can pass through the tile
# format: black, red, green, yellow, blue, magenta, cyan, white


# Util
Air," ",false,black

# Natural Grounds
Grass,.,false,green
Path,.,false,white

# Nature Decorations
Tree,T,true,green
Rock,o,true,white

Flower,",",false,yellow

# Walls
Wall,"#",true,magenta

# Switches
"Closed Door",D,true,cyan
"Open Door",D,false,cyan
